feature_idx,pearson_r,pearson_p_emp,pearson_sig,spearman_rho,spearman_p,n_used
0,0.30851068819084726,0.000999000999000999,True,0.33848216879701476,0.00024544745467304887,113
1,0.19584689351170112,0.03696303696303696,False,0.34442615244074715,0.00018729661098420582,113
2,0.19607730212185737,0.04095904095904096,False,0.30856647816682115,0.0008836629827064389,113
3,0.296789722085932,0.000999000999000999,True,0.31169310307427434,0.00022089202938877222,136
4,0.2855274124401756,0.001998001998001998,True,0.3591502659117667,1.7558247402232327e-05,136
5,0.21174229528041108,0.01898101898101898,True,0.18863177047498392,0.027857760605932848,136
6,0.19142474670410461,0.03296703296703297,False,0.23226178129306208,0.006509923752978613,136
7,0.3629625935599653,0.000999000999000999,True,0.3831046062979502,4.1571164350180045e-06,136
8,0.24393542472406382,0.002997002997002997,True,0.35939872022513686,1.7307891531091216e-05,136
9,0.23367347996890275,0.006993006993006993,True,0.3564571118406139,2.0500086248611497e-05,136
10,-0.0769734858656833,0.43756243756243757,False,-0.10989496879649079,0.2465686569274745,113
11,0.09579791609863786,0.3276723276723277,False,0.09123410914412831,0.3365246035802494,113
12,0.0569936442386829,0.5484515484515484,False,0.10063535026809757,0.2888857347994091,113
13,0.05477783447469967,0.5934065934065934,False,0.08051244558493616,0.3965937147388909,113
14,0.2262632266039583,0.016983016983016984,True,0.21885272923990537,0.01986559371988514,113
15,-0.4512151087528744,0.000999000999000999,True,-0.4651260922055924,2.097871257784923e-07,113
16,0.15717878902645818,0.1008991008991009,False,0.10615030075464395,0.2631350713297029,113
17,-0.4520727331349183,0.000999000999000999,True,-0.46288512289912576,2.4412156652092464e-07,113
18,-0.3176743931047703,0.000999000999000999,True,-0.2767180556440615,0.003007091839417133,113
19,-0.3922848016583761,0.000999000999000999,True,-0.37293394785609735,4.741268021711985e-05,113
20,-0.2475351277733725,0.008991008991008992,True,-0.21205067928180094,0.024147563401411158,113
21,-0.3596936274025061,0.000999000999000999,True,-0.365136374358503,6.993741897139496e-05,113
22,0.12915950128723197,0.12487512487512488,False,0.15865957994092006,0.06505235298098462,136
23,0.02814622841760927,0.7412587412587412,False,0.136762154591388,0.11236438303068846,136
24,-0.11419675567105379,0.1928071928071928,False,-0.14124149918339896,0.10096892157070748,136
25,0.1563785500093416,0.052947052947052944,False,0.19342884991005488,0.02405308953976218,136
26,0.1443700122773542,0.0989010989010989,False,0.17711686864378767,0.03913231515886166,136
27,0.08536035917543572,0.34665334665334663,False,0.08440996398374608,0.32854945088876886,136
28,-0.12517153497289477,0.14485514485514486,False,-0.15224993645272517,0.07681611577501225,136
29,0.031159477293236044,0.7302697302697303,False,-0.012174261355140232,0.8881308014412009,136
30,-0.041794652182570446,0.6233766233766234,False,-0.06467456895729132,0.45442969718437676,136
31,0.09582762837774225,0.27672327672327673,False,0.11688342053798886,0.17536932537415462,136
32,0.07626697381806649,0.3886113886113886,False,0.06995183413262582,0.4183807347779535,136
33,0.028787848836674953,0.7422577422577422,False,0.024537252429090536,0.7767533266040273,136
34,0.06664192492695012,0.4325674325674326,False,0.03613576869267097,0.6761967697000812,136
35,-0.17696338540479295,0.030969030969030968,False,-0.19680209501081192,0.021652517301012742,136
36,0.20161197030789818,0.024975024975024976,True,0.1716580407009903,0.045690668157568615,136
37,-0.1372883620690451,0.10989010989010989,False,-0.17701414234114426,0.03924800982108858,136
38,0.03266685064697664,0.7172827172827173,False,0.006999722482449157,0.9355392874658094,136
39,-0.08334408308570745,0.34165834165834164,False,-0.13838427457964156,0.10812717235256807,136
40,0.30450129230865375,0.000999000999000999,True,0.28923187755209445,0.0006374569103494709,136
41,0.22469347890358748,0.00999000999000999,True,0.18574587806583764,0.030385101368047857,136
42,0.32044749985292353,0.000999000999000999,True,0.30304020381440033,0.00033564750323729104,136
43,0.373892535171728,0.000999000999000999,True,0.3843970465242317,3.8335726272877345e-06,136
44,0.24834317281847612,0.04395604395604396,False,0.32579064681717085,0.008612840835236113,64
45,0.0587346147416329,0.6513486513486514,False,0.05106976110808825,0.6885913567896094,64
46,-0.46281469614201937,0.000999000999000999,True,-0.4734105822566739,5.864482152539432e-09,136
47,-0.321613714349605,0.000999000999000999,True,-0.36080105370540905,1.5956721242002958e-05,136
48,-0.41520945389591046,0.000999000999000999,True,-0.4427159495665716,6.783526116607048e-08,136
