epoch,correlation_metric,loss,mae,mean_squared_error,rmse,val_correlation_metric,val_loss,val_mae,val_mean_squared_error,val_rmse
0,0.9601283073425293,681.7112426757812,15.865743637084961,681.7112426757812,26.109600067138672,0.6660164594650269,0.2261001467704773,0.45305681228637695,0.2261001467704773,0.4754998981952667
1,0.5625663995742798,0.12807996571063995,0.3046402037143707,0.12807996571063995,0.35788261890411377,0.7284358739852905,0.10263030230998993,0.28592056035995483,0.10263030230998993,0.32035964727401733
2,0.41491031646728516,0.048636842519044876,0.176096111536026,0.048636842519044876,0.22053761780261993,0.7574251294136047,0.03609780594706535,0.1490616649389267,0.03609780594706535,0.1899942308664322
3,0.4163609743118286,0.039610110223293304,0.16388285160064697,0.039610110223293304,0.19902288913726807,0.8174616694450378,0.05351053178310394,0.19211755692958832,0.05351053178310394,0.23132343590259552
4,0.37429580092430115,0.03198441118001938,0.13979355990886688,0.03198441118001938,0.17884185910224915,0.8677847385406494,0.031139787286520004,0.1220303326845169,0.031139787286520004,0.17646469175815582
5,0.4449240267276764,0.044749852269887924,0.18223421275615692,0.044749852269887924,0.21154160797595978,0.7927812933921814,0.09489184617996216,0.27022480964660645,0.09489184617996216,0.3080452084541321
6,0.269618958234787,0.03525933995842934,0.15494631230831146,0.03525933995842934,0.18777470290660858,0.7445477843284607,0.02616512030363083,0.11833818256855011,0.02616512030363083,0.16175636649131775
7,0.29188647866249084,0.021413318812847137,0.11601618677377701,0.021413318812847137,0.14633290469646454,0.7910193204879761,0.05815332755446434,0.19420310854911804,0.05815332755446434,0.24115000665187836
8,0.24697184562683105,0.026597119867801666,0.13706348836421967,0.026597119867801666,0.16308623552322388,0.8547843098640442,0.037089236080646515,0.14417697489261627,0.037089236080646515,0.19258566200733185
9,0.2526378333568573,0.025490175932645798,0.12882310152053833,0.025490175932645798,0.15965643525123596,0.9106436967849731,0.0703718289732933,0.21764056384563446,0.0703718289732933,0.26527687907218933
10,0.19667069613933563,0.024580467492341995,0.12838177382946014,0.024580467492341995,0.15678159892559052,0.9498614072799683,0.034724779427051544,0.13363729417324066,0.034724779427051544,0.18634586036205292
11,0.20886607468128204,0.018782731145620346,0.11893762648105621,0.018782731145620346,0.1370501071214676,0.9754589796066284,0.038407180458307266,0.14328578114509583,0.038407180458307266,0.19597749412059784
12,0.19789506494998932,0.01663391664624214,0.10487008839845657,0.01663391664624214,0.12897254526615143,0.9687689542770386,0.0407157726585865,0.14860719442367554,0.0407157726585865,0.2017814964056015
13,0.1840786188840866,0.020450454205274582,0.11424360424280167,0.020450454205274582,0.14300508797168732,0.9313027262687683,0.03226432949304581,0.1274145245552063,0.03226432949304581,0.17962273955345154
14,0.10007113218307495,0.017369497567415237,0.10328905284404755,0.017369497567415237,0.13179339468479156,0.9369454383850098,0.04330594837665558,0.15761664509773254,0.04330594837665558,0.2081008106470108
15,0.21784834563732147,0.016441402956843376,0.10787282884120941,0.016441402956843376,0.12822403013706207,0.8949635028839111,0.07820435613393784,0.232951819896698,0.07820435613393784,0.27965041995048523
16,0.15319806337356567,0.04563986510038376,0.193978413939476,0.04563986510038376,0.2136348932981491,0.929204523563385,0.034427378326654434,0.13310977816581726,0.034427378326654434,0.1855461597442627
17,0.15299023687839508,0.015958134084939957,0.1056821271777153,0.015958134084939957,0.12632550299167633,0.9701554179191589,0.04897146299481392,0.1712336391210556,0.04897146299481392,0.22129496932029724
18,0.20859964191913605,0.01514049619436264,0.09971126168966293,0.01514049619436264,0.12304672598838806,0.9570907354354858,0.08048339188098907,0.2349720448255539,0.08048339188098907,0.28369593620300293
